sentiment	message
2	Gas by my house hit $3.39!!!! I m going to Chapel Hill on Sat. :)
0	Theo Walcott is still shit, watch Rafa and Johnny deal with him on Saturday.
0	its not that I m a GSP fan, i just hate Nick Diaz. can t wait for february.
0	Iranian general says Israel s Iron Dome can t deal with their missiles (keep talking like that and we may end up finding out)
1	Tehran, Mon Amour: Obama Tried to Establish Ties with the Mullahs http://pjmedia.com/tatler/2012/10/28/tehran-mon-amour-obama-tried-to-establish-ties-with-the-mullahs/ … via @PJMedia_com No Barack Obama - Vote Mitt Romney
1	I sat through this whole movie just for Harry and Ron at christmas. ohlawd
2	with J Davlar 11th. Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.
0	Talking about ACT s && SAT s, deciding where I want to go to college, applying to colleges and everything about college stresses me out.
1	Why is Happy Valentines Day trending? It s on the 14th of February not 12th of June smh..
0	They may have a SuperBowl in Dallas, but Dallas ain t winning a SuperBowl. Not with that quarterback and owner. @S4NYC @RasmussenPoll
1	Apple software, retail chiefs out in overhaul: SAN FRANCISCO Apple Inc CEO Tim Cook on Monday replaced the heads... http://bit.ly/XQEhJU 
2	Watching English Vinglish!
2	One of my best 8th graders Kory was excited after his touchdown today!! He did the victor cruz!!lol pic.twitter.com/tqORFrXB
1	Livewire Nadal confirmed for Mexican Open in February: Rafael Nadal is set to play at the Me... http://bit.ly/WY4Vjy  LiveWireAthletics
2	Men get mad at each other, fight, and get over it. Women get mad, and will hold a grudge that lasts forever.
1	So Haley s next single is coming out in November..... I hope it s not true.
1	Iran US delisting MKO from global terrorists list in line with Iran campaign: Tehran, Oct 30, IRNA -- Secretary... http://bit.ly/XSTGtd 
1	The greatest ballers of all time http://instagr.am/p/RJhjSmHIlo/ 
2	GM nvr4get Stevens,Smith,Doherty,Woods Benghazi @ljmljm55 @dj4jg @paverlayer @fsbull @revkahJC @dickstrash @borderfox116 @swedenG
1	Expect light-moderate rains over E. Visayas; Cebu, Bohol, Samar & Leyte have 30-70% chance of rains tonight! Expect fair weather tomorrow!:)
2	One ticket left for the @49ers game tomorrow! Don t miss the rematch of the NFC Championship game against the NY Giants! Hit me up!
0	AFC away fans on Saturday. All this stuff about the  she said no  chant. It s bollocks. When he has the ball, just turn your back on him.
0	My Saturday night has consisted of me watching The Grey with my puppy while my parents throw a rager whaa liamneesonisbosstho
